# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	525
#@/user_id	af4251e3-7603-416e-8421-a398478b49bc
a 	啊	c=2 d=1.7291 t=525
zhao 	找	c=1 d=0.980199 t=525
zhe yang 	这样	c=2 d=1.75411 t=525
zheng gai 	整改	c=1 d=0.918512 t=525
zhi 	值	c=3 d=2.76566 t=525
zhi ding 	指定	c=6 d=4.42802 t=525
zhi jie 	直接	c=1 d=0.843665 t=525
zhi qian 	之前	c=1 d=0.900325 t=525
zhi xing 	执行	c=1 d=0.918512 t=525
zhi you 	只有	c=1 d=0.965605 t=525
zhong 	中	c=3 d=2.53109 t=525
zhu shou 	助手	c=1 d=1 t=525
zhuang tai 	状态	c=1 d=0.970446 t=525
zhui jia 	追加	c=2 d=1.37701 t=525
zhun 	准	c=1 d=0.99005 t=525
zi dong 	自动	c=1 d=0.985112 t=525
zi duan 	字段	c=1 d=0.985112 t=525
zi fu 	字符	c=3 d=2.77473 t=525
zi fu chuan 	字符串	c=1 d=0.965605 t=525
zi ti 	字体	c=2 d=1.71534 t=525
zuo 	做	c=2 d=1.58036 t=525
zuo bian 	左边	c=1 d=0.891366 t=525
zuo tian 	昨天	c=1 d=0.960789 t=525
zuo wei 	作为	c=1 d=1 t=517
zuo yong 	作用	c=1 d=1.06372 t=525
zuo yong ou gei 	作用偶给	c=1 d=0.909373 t=525
